Name,Residual_Charging_Band,Import_Super_Red_charge,Import_fixed_charge,Export_Super_Red_charge,Export_fixed_charge
B&RLTD,1,1.86,2865.31,0,0
BEDDIN,2,0.01,16076.25,0,0
BP_OIL,1,0.31,2865.31,0,0
CHESDC,3,0,33041.98,0,0
DIGREA,4,0,69548.53,0,0
EUROTU,4,0,220981.93,0,0
GAT_AF,3,0.75,39690.72,0,0
GAT_BF,3,0.78,36594.39,0,0
KNGSPN,4,0.13,66928.99,0,0
NP_LAB,1,1.89,3238.38,0,0
NR_3BR,4,0.82,68534.37,0,0
NR_AFD,3,1.8,36594.39,0,0
NR_ASH,3,0.34,36594.39,0,0
NR_BRI,4,0.41,68534.37,0,0
NR_BYF,4,0.36,68534.37,0,0
NR_CAN,2,0.02,16959.97,0,0
NR_CRO,4,0.02,67999.24,0,0
NR_DOR,2,4.62,16959.97,0,0
NR_EAS,2,1.26,16959.97,0,0
NR_FOK,2,1.45,16959.97,0,0
NR_HAS,2,0,22539.41,0,0
NR_LEA,4,1.29,67999.24,0,0
NR_MAI,3,3.54,36594.39,0,0
NR_NOR,4,0,69069.5,0,0
NR_QUE,1,0,3054.42,0,0
NR_SIT,3,0,36594.39,0,0
NR_THA,2,1.79,16959.97,0,0
NR_TUN,3,7.34,36594.39,0,0
PFIZER,2,0,19440.83,0,0
SENTIV,4,0.05,183985.57,0,0
THAMEM,4,0,73474.95,0,4909.47
THAMES,2,0.76,20906.49,-0.48,2943.17
TWHK66,2,7.43,16211.32,-8,51.46
ANMSTR,0,2.15,58.21,-2.15,1633.73
ASHBYS,0,5.14,16.42,0,1674.86
AYLESF,4,0.05,67518.21,0,0
BEDERF,0,0.2,577.83,-0.32,4105.64
BESAYL,0,0.05,589.22,-0.09,589.22
BNTLEY,0,6.29,14.77,0,1477.43
BNTLY2,0,6.29,11.26,0,945.82
BOBBNG,0,0,8.02,0,1603.2
BRAMBS,0,0.29,589.22,-0.6,589.22
BRELLE,1,0,2549.85,0,1229.03
BRETSH,0,0.01,38.36,0,0
BRKHST,2,1.52,18665.83,-4.73,8247.87
BTBRKS,1,0.5,2575.35,0,1846.86
CAPELG,0,7.59,1.47,0,1198.62
CLYHLL,0,1.37,11.13,0,1113.22
CRYENG,0,0,191.17,0,509.79
CWSTBS,0,0,28.81,0,28.81
DARENT,1,0,2712.53,0,3392.49
DSCPRK,3,0,37070.63,0,2071.7
FORDSF,0,0.28,19.34,0,1105.02
FRWOOD,0,0,30.53,0,1526.59
GLASSN,0,0,654.88,-1.03,654.88
GROVEH,4,0,67630.79,0,0
GUSTON,0,5.23,25.83,0,2582.93
HADLOW,0,4.11,3.11,0,1175.34
HANSTA,0,4.45,3.08,0,0
HLLMBY,0,0,16.05,0,1293.72
HORAMS,0,0,22.46,0,2919.53
KENTI2,1,0,2506.35,0,521.02
KENTIS,1,0,2518.19,0,0
KM3CHP,2,0,16333.77,0,4207.52
KNTSFM,0,0.83,1259.15,-0.8,1325.81
KNWLTN,0,0,23.1,0,2183.18
LBOURN,0,0,13.41,0,1257.01
LCHEYI,0,0.15,10.01,0,1299.75
LENHAM,0,6.39,21.84,0,2184.44
LGHTON,0,3.83,18.73,0,1311.19
MARSHB,0,0,34.15,0,1393.15
MLEHLL,0,0,4.25,0,530.88
MLMAYN,0,0,2.34,0,1122.02
MVVRID,0,0,2815.57,0,14809.91
NEWHVN,0,1.53,66.89,-1.67,468.24
NEWRID,1,0.02,2498.23,0,2395.04
OAKLND,0,1.74,9.75,0,1071.33
OLDRSF,0,0,7.05,0,1409.43
ORCHRD,0,0,8.84,0,1591.56
PADWSF,0,12.69,7.39,0,1171.06
POSHWF,0,0,10.49,0,524.64
PRIORS,0,1.73,7.35,0,1106.18
PSHLEY,0,0,19.97,0,1996.97
SELLSF,0,0.45,6.32,0,1226.22
SEVIND,0,3.75,2.3,-3.75,184.23
SHEPHM,0,2.37,78.23,0,2933.66
SHORHM,2,0.01,16376.02,0,0
SOLEES,0,0.01,64.88,0,2724.79
STAREN,1,4.09,4707.27,0,0
SYCAMR,0,1.52,98.37,0,3541.46
THAEAR,4,0,72404.61,-1.23,5475.62
THANET,1,0.09,2516.87,0,2594.9
THORNE,0,0,33.33,0,3465.86
TONGSF,1,0.68,2542.91,0,3940.79
WDLNDS,0,0.02,37.46,0,4494.97
WIDHFM,0,4.89,29.24,0,2339.33
WLBEES,0,8.46,5.3,0,529.83
WRGALL,0,5.02,1234.59,0,0
WSTWDX,0,0,21.84,0,2184.44
